title,location,description
Senior Data Scientist,"Edmonton, Alberta T6J6R7"," 
A computer IS YOUR 
crystal BALL 
 
Posted: 2020-11-04Closing: When FilledLocation: Edmonton South 
 
ABOUT YOU
 
When you watch the Terminator movies, you’re always on Team SkyNet; after all, machine learning is your bread and butter! It’s all about finding efficient ways to predict behaviour. Where other people see problems, you see opportunities – for understanding, for digging deeper, and for leveraging data to make things better. You’re a dynamo with data, enjoy working with a team, and look at product development with a scientist’s eye. We love that about you.  
 
In this role, you will be responsible for translating a business problem into a data science problem and develop appropriate solutions/recommendations using quantitative methods. You will also develop machine learning models using advanced analytics and big data technologies to increase the business value across the entire organization.  
 
WHAT MOVES YOU 
You’re an expert at spotting patterns and using them to forecast behaviour. You’re basically a fortune teller with a computer.  
You love collaborating and are always first to put up your hand to help the team. Superstar!  
You’re a master problem-solver with a knack for analyzing risks and identifying the best solutions. 
You manage your time as expertly as you manage your projects. It’s just part of your DNA. 
You’re a confident speaker who’s as comfortable presenting data as mining it.  
 
WHAT YOU’LL DO 
Report to the Manager, Data Science. 
Research, development, interpretation and deployment of machine learning and predictive models – all with an eye to understanding and predicting member behaviour. 
Use data insights to drive decision-making at the organizational level. 
Combine programming and analytical skills to support a consistent member experience across the Association’s business units.  
Realize operational and marketing efficiencies and identify opportunities for improvement. 
Present member insights to staff in support of the Association’s strategic direction and tactics.  
Anticipate analytic opportunities, with the goal of deepening and growing our understanding of AMA’s member base. 
Validate the Association’s use of machine learning, developing processes and tools to monitor outcomes and analyze model performance. 
Analyze member engagement and make recommendations for next-best offers. 
Support responsible and targeted outbound marketing through the optimization of product development and strategy. 
Deepen the Association’s A/B testing approach and framework.  
Help define complex problems as they arise, using advanced analytics and research techniques.  
Lead short and long-term forecasting to drive agility in decision-making. 
Data governance, including the leveraging of version-control in analysis, model development and deployment. 
Engage in validation and peer review, back-testing against known measures. 
Consult with stakeholders to deliver analytic value on an operational and ad hoc basis. 
 
WHAT YOU’VE DONE 
You have your master’s degree in computer science, mathematics, statistics, or a related quantitative field.  
You have at least five years’ employment experience in data science, predictive modelling or machine learning areas. 
You have strong problem-solving and organizational skills.  
You’re a whiz at applying machine learning algorithms – GLM, GAM, Decision Tree, Random Forest, Boosting, Text Mining and more.  
Your job experience is rich with product development know-how.  
You’re fluent in statistical programming languages – especially R and Python. 
Your expertise in Deep Learning and Unsupervised techniques such as clustering, autoencoders make you stand out.  
You’re familiar with relational databases, such as SQL. You get bonus points if you also have experience with distributed computing frameworks such as Spark and Hadoop. 
You’re experienced in Cloud platforms such as AWS, Azure, Google Platform or Databricks. 
You understand data and know how to apply different models to different business platforms. 
 
WHAT YOU'LL GET 
Competitive salary. 
Flexible benefits. 
Outstanding employer-paid Pension Plan. 
Great AMA discounts. 
Unlimited learning opportunities. 
Paid vacation and floater day. 
 
We thank all applicants for their interest; however, only those selected for an interview will be contacted. 
"
Data Scientist,"Vancouver, British Columbia V6B 3A2","We marry design and engineering language in ways that produce impactful and memorable experience journeys. We partner all the way to continuously improve our clients’ digital maturity. Our Studio network brings the optimal combination of skill, scale, and cost for each stage of the product development lifecycle. And to do this we need great transformational people that want to impact the projects and organizations that they work with. 
We are looking for an exceptional Data Scientist to work with our cross-functional team, and join our world-class community of talented experts in Vancouver, CAN. Core to this need are expertise in:
4-5 years experience and proven track record in solving business problems through fact-based and scientific analytics
Knowledge of statistical programming language Python. 
Well versed with supervised and unsupervised machine learning algorithms. 
Extensive experience developing Tableau reports.  
Clear understanding of logical and physical database design and data.  
Strong database skills (MySQL, SQL Server) and ability to write, optimize and tune complex SQL scripts. 
Excellent interpersonal skills and ability to work in a team with diverse backgrounds and share knowledge.
Ideally you will also have:
Master’s, or PHD in Statistics, Mathematics, Computer Science or another quantitative field highly desired. 
An Agile mindset with experience working in Agile environment
A spirit of collaboration and transparent communication
A natural curiosity for new scripting languages , frameworks and technologies 
High personal code/development standards (peer testing, unit testing, documentation, etc)
We are a thriving Community of top technology talent that is globally connected. We Engage, Make, Run and Evolve the technology that makes many brands that you know and love. So let’s take this journey together. No matter where you are on your digital career roadmap, we can help you grow and have fun doing it. 
Cognizant Softvision is an Equal Opportunity Employer. No 3rd Party Agency Candidates.
 
"
Senior Data Scientist - Forecasting,"Vancouver, BC, CA, BC","







Implement cutting edge forecasting and predictive solutions tailored to our business needs
Work with business stakeholders to understand their core problems and deliver solutions that solve their real needs
Use cloud technology and distributed computing to deliver modern forecasts in a timely manner
Build solutions that are reliable and robust, leveraging best practices in both software development and data science
Drive relentlessly towards continuous improvement of the end solutions

Qualifications:
PhD or Masters graduate in Statistics, Mathematics, Computer Science, or other technical field from an accredited university 
5-10  years’ of post education experience, including at least 2 years of specific experience in business forecasting
Exceptional coding skill in either R or Python
Familiar with using cloud technologies (we use Azure) for distributed computing
Strong background in time series, business forecasting, and demand modelling, in addition to your strong background in core data science (predictive modelling, regression/classification, etc.)
Great communicator, collaborator, and influencer, and you love working with business stakeholders 




We are committed to diversity at Finning, to building and sustaining a diverse and inclusive workforce and as an equal opportunity employer we encourage applications from all qualified individuals. Finning does not discriminate against applicants based on genders, races, national and ethnic origins, religions, ages, sexual orientation, marital and family status, and/or mental or physical disabilities.
"
Senior Data Scientist,Canada - Remote,
SAP iXp Intern - Data Scientist - Developer Job,Montreal,
Data Scientist,"Vancouver, British Columbia","Provide consultation and oversight in the optimization and improvement of product development, marketing techniques and business strategies by proposing and defining solutions and implementation roadmaps for statistical pipelines, including data collection, model specification, algorithm configuration, system configuration and tuning requirements, fitting, forecasting, prediction, and reporting components that address customer business problems.
Define and implement project roadmaps for exploratory data analysis, data mining, data collection, preprocessing and business analyses.
Propose new statistical models and data science solutions that are grounded in the business space
Prepare and present information using data visualization techniques
Implement, model, and oversee best practices, including repeatable and reproducible analytic workflows and SDLC practices
Design experimental and innovative features/signals that might improve a statistical pipeline
7+ years of experience manipulating data sets and building statistical models, has a PhD (preferred) or Master's in Statistics, Biostatistics, Applied Mathematics, Mathematics, or other quantitative field.
Able to self-learn new techniques from textbooks and research papers
Competency with one or more computational languages (e.g. R, S-Plus, SAS, SPSS, JMP, or Python) and SQL
Demonstrated aptitude for computer programming and SDLC
"
Senior Data Scientist,"BC, BC","Do you want a meaningful role in a company that is making a difference in the world? Do you want to be involved in one of the most important environmental resource areas today? Do you want to learn what's involved in developing and deploying machine learning and predictive analytics solutions from colleagues with years of research and development experience? Then join our energetic and growing team and help revolutionize an industry.
Founded in 2003, Aquatic Informatics provides software solutions that address critical water data management, analytics and compliance challenges for the rapidly growing water industry. Aquatic Informatics is the trusted provider of water management solutions to over 1,000 municipal, federal, state/provincial, hydropower, mining, academic, and consulting organizations in over 60 countries that collect, manage, and process large volumes of water data.
Aquatic Informatics' platforms include AQUARIUS analytics software for natural environments, WaterTrax compliance and electronic reporting tools for municipalities, Linko software for the management of industrial pretreatment and hauled waste records and Tokay for backflow prevention. From source water through to the receiving environment, our interconnected data management platforms drive the efficient management of water information across the water cycle to protect human health and reduce environmental impact.
Aquatic Informatics is headquartered in Vancouver, Canada and has offices in the US and Australia. We are one of the fastest-growing clean technology companies in Canada. We value independent thinking, initiative, teamwork, a relentless pursuit of quality, a playful spirit, and a sense of humour. We like smart people – IQ and EQ – who care about the environment and want to do good in the world.
Aquatic informatics is looking for a Senior Data Scientist to join our growing Data Science team in our Vancouver office.  Specific responsibilities of the role include:
Identify and translate business problems into deliverable research problems.
Build supervised and unsupervised learning systems to aid in identifying patterns in time series data.
Develop predictive models of water processes in the natural and urban environment to optimize decision making.
Contribute to building data science best practices on the team and a culture of excellence.
Collaborate with engineering teams on implementing and deploying solutions into production.
Build internal tools for monitoring and investigation purposes
Lead cross-team cooperation and mentor junior scientists. 
Masters or PhD in data science, computer science/engineering, statistics, or a related quantitative discipline.
Proven track record leading and delivering on products and/or practical research endeavours.
5+ years of industry experience in applied machine learning, predictive modeling and data analysis OR 3+ years of industry experience combined with an additional 2+ years of academic research experience. 
Solid understanding of foundational statistics concepts and machine learning algorithms: linear/logistic regression, random forest, boosting, neural networks, etc.
Excellent software development skills (experience with the Python science stack required).
Outstanding English communication skills, both verbal and written.
Passion for using data to solve challenging, real-world problems.
Background in environmental or water science.
Knowledge of industrial control systems and/or IoT devices.
Experience with time series data.
Experience deploying data science solutions into production.
Experience with AWS or other cloud services and cloud technologies.
Experience with Hadoop, Spark, or similar frameworks.
"
Sr. Data Scientist,"Calgary, Alberta","Sr. Data Scientist
 
Why YOU want this position
Since our founding as a groundbreaking provider of oil & gas data, we have evolved our solutions to cover oil & gas analytics, trading & risk, and business automation for customers across the energy industry. Enverus represents this growth, while bringing us closer together as one team. Enverus delivers business-critical insights to the global energy industry through a state-of-the-art SaaS platform built on industry-leading data and energy analytics. Our solutions deliver value across the entire energy value chain, empowering customers to be more agile, efficient, and competitive. The range of energy industry participants we serve includes exploration and production (E&P) companies and related businesses such as oilfield services, midstream, capital markets, power generators and utilities, energy traders, and downstream commercial & industrial energy consumers.
We are currently seeking a highly driven Sr. Data Scientist to join our team in Conshohocken, PA, Austin, TX or Denver, Co. to support the efforts of the Data Science team by producing accurate data science models.
 
Performance Objectives:
Build data products to solve problems in the oil and gas industries
Lead implementation of products of various size and complexity needing cross-team support
Conduct independent research
Work with a cross-functional team of Software Engineers, Data Engineers, Product Owners, and other Data Scientists to ship products and features
Participate in client-facing conversations to explain methodologies
Mentor and teach junior team members
Strong python development skills
Extensive experience in NumPy and Pandas with additional experience in one or more of scikit-learn, PyTorch, or Tensorflow
Expert in Machine Learning, Deep Learning, or Bayesian Statistics
Comfortable using Linux, git, and command line tools
Experience working with Docker or Kubernetes
Ability to write neat and well-documented production ready code
 
Competitive Candidate Profile:
Advanced degree in Computer Science, Data Science, Statistics, Mathematics, Operations Research, or other quantitative field with 2+ years’ experience or Bachelor’s degree with 5+ years of related experience
Prior experience developing and maintaining data products
Experience with Airflow or Kubeflow
Experience with Spark or PySpark
Experience with Bayesian Optimization or Gaussian Processes
Prior software engineering experience
"
Data Scientist- Toronto or remote based,Toronto (DRG),"Clarivate™ is a global leader in providing trusted information and insights to accelerate the pace of innovation. We offer subscription and technology-based solutions coupled with deep domain expertise that cover the entire lifecycle of innovation – from foundational research and ideas to protection and commercialization. 

Today, we’re setting a trail-blazing course to help customers turn bold ideas into life-changing inventions. Our portfolio consists of some of the world’s most trusted information brands, including the Web of Science™, Cortellis™, Derwent™, CompuMark™, MarkMonitor™ and Techstreet™. 

We employ 5,500 colleagues in more than 40 countries.

Clarivate is a public company. We are listed on the New York Stock Exchange under the ticker NYSE:CCC.

At Clarivate, we believe human ingenuity can transform the world and improve our future. That’s why we harness our global reach, curate our content, and invest in best-in-class technology and people.

Join the team that is improving the way the world creates, protects, and advances innovation.




In this important role, you’ll get to:
Dig into Clarivate's massive datasets, unparalleled in the industry
Work on exciting business problems that will shape the future of healthcare & research
Train new Machine Learning Models using State-Of-The-Art techniques
Deploy your models into production, monitor their real-world impact, and work with your users to improve these models over time
Be an influential voice throughout the company, as Clarivate extends its Data Science offerings to our entire breadth of users
Collaborate with a diverse, cross-functional team of individuals across the company, from fellow data scientists, to software architects, to product managers and senior business leaders

Typical Qualifications:
Excellent software development skills – APIs, Databases, Cloud Computing, Unit Testing
Fluent in python and machine learning libraries, or exceptional skill in a non-python language (Java, Scala, etc.)
Advanced knowledge of one or more deep learning libraries; TensorFlow or Pytorch preferred
Strong communication skills - able to speak to the most granular technical details, while also able to translate your work for non-technical audiences
Extensive knowledge of modern Machine Learning techniques; NLP background a plus
Hygienic software development practices: a habit of writing well-designed, clean, documented, and fully-tested code
Demonstrated history of building & deploying Machine Learning Models into production with real user impact; 1-3 years of experience preferred
Bachelor’s degree in Computer Science, Engineering, Mathematics, or any quantitative field.  Masters or PhD is preferred
Experience is preferred with big data environments where training time and prediction speed are bottlenecks
.

It is the policy of Clarivate to provide equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, pregnancy, sex, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state or local law. In addition, Clarivate will provide reasonable accommodations for qualified individuals with disabilities.
"
Senior Data Scientist // Scientifique des données principal,"Montréal, Quebec H2N 2G1","Translate complex analytical results into actionable business initiatives 
Develop a deep understanding of the business, its data, and patterns
Extract data from multiple sources to uncover opportunities or detect issues
Research and develop learning models, perform statistical analysis and deliver data reviews and optimization to internal teams and executives 
Partner with strategic business stakeholders to provide evidence-based guidance
Contribute to data mining architecture, modeling standards and data analysis methodologies
Design and implement accessible, high-impact visualizations that clearly communicate conservation results, elucidate patterns, promote accountability, generate actionable insights, and facilitate decision making
Work iteratively in collaboration with different teams to refine initial concepts and prototypes that can be presented to stakeholders for feedback
Develop and continuously improve processes, tools, and techniques
Stay abreast of emerging tools and technologies
Master’s or PhD degree in Statistics, Mathematics, Quantitative Methods, or a related field 
A minimum of 5 years experience in analytics / data science with a focus on driving business impact
Strong understanding of advanced modeling techniques, such as Machine Learning, nonparametric approaches and neural networks
Excellent programming skills using SQL, Python, and statistical softwares (eg. R, SAS) 
Experience with data manipulation technologies and knowledge of programming languages
Extensive experience solving analytical problems using quantitative approaches
Experience using Spark or similar languages, an asset
Experience with e-Commerce, an asset
Experience in econometric models, an asset
Understanding of web analytics, an asset
Highly analytical and detail oriented
Capacity to synthesize, simplify and present complex information to technical and business stakeholders at various levels of the organization
Ability to design and present complex data sets in a variety of visually compelling formats 
Ability to thrive in a fast-paced, performance-driven environment
Team player with solid interpersonal skills
Traduire des résultats analytiques complexes en initiatives d’affaires actionnables 
Développer une compréhension approfondie des affaires, des données et des schémas de l’entreprise  
Extraire les données de plusieures sources pour découvrir des opportunités ou détecter des problèmes 
Développer des modèles d’apprentissage, effectuer des analyses statistiques et fournir des examens de données et  l’optimisation des données aux équipes et aux directeurs internes  
Travailler étroitement avec les intervenants stratégiques afin d’offrir une orientation basée sur les preuves
Contribuer à l’exploration des données, l’architecture, les normes de modèles et les méthodologies d’analyse des données
Concevoir et mettre en oeuvre des visualisations accessibles à impact élevé qui communiquent clairement les résultats de conservation, éclaircissent les schémas, favorisent la responsabilisation, génèrent des observations actionnables et facilitent la prise de décisions        
Travailler de façon itérative en collaboration avec différentes équipes pour raffiner les concepts et prototypes originaux qui peuvent être présentés aux parties prenantes pour leur rétroaction 
Développer et continuellement améliorer les processus, les outils et les techniques 
Rester à l’affût des technologies et outils émergents
Maîtrise ou Doctorat en Statistiques, Mathématiques, Méthodes quantitatives, ou un domaine connexe
Un minimum de 5 années d’expérience en analyse / science des données visant à faire un impact sur les affaires
Solide compréhension des techniques de modélisation avancées telles que l’apprentissage machine, les techniques  non paramétriques et les réseaux neutres 
Excellentes compétences de programmation avec SQL, Python et logiciels statistiques (ex. R, SAS) 
Expérience avec les technologies de manipulation des données et connaissance des langages de programmation 
Vaste expérience en résolution de problèmes analytiques avec approches quantitatives
Expérience avec Spark ou langages similaires, un atout
Expérience e-commerce, un atout
Expérience avec les modèles économétriques, un atout
Compréhension de l’analytique Web, un atout 
Solides aptitudes analytiques et soucieux du détail 
Capacité à synthétiser, simplifier et présenter de l’information complexe aux parties prenantes techniques et d’affaires à tous les niveaux de l’entreprise 
Capacité à concevoir et présenter des ensembles de données complexes dans une variété de formats visuellement attrayants 
Habileté à réussir dans un environnement orienté sur la performance et au rythme rapide 
Esprit d’équipe et fortes compétences relationnelles
"
Senior Matchmaking Data Scientist,"Vancouver, British Columbia"," Requisition ID: R002602
 Job Description: 
Senior Matchmaking Data Scientist (Van)
Want to be responsible for the gaming experience of millions of players? How about building the infrastructure that supports players from around the world? 
Demonware is an independently-run part of Activision Blizzard. We run every part of the players' online experience, from logging in to matchmaking to climbing the leaderboards, for popular video game franchises such as Call of Duty, Crash Bandicoot and Skylanders. 
Our services impact almost half a billion players, we solve big company challenges with a small company feel. 
If you're excited about working with technologies for low-latency, large scale systems in a collaborative, supportive and inclusive environment then we'd love to hear from you! 
 That sounds amazing, but what kind of impact can I make? 
As a member of the Matchmaking team, your responsibilities will focus on improving the end user experience. You will use data analytics to identify areas of opportunity, then by developing online services, and running tests, capitalize on these opportunities. 
No previous work experience in the video game industry is required, however the ability to put yourself in the shoes of our players is essential. This role will have a direct impact on the online services for AAA multiplayer games, including Call of Duty. 
 Sounds awesome, what will my ""day-to-day"" look like? 

 Drive exploration and analysis of large complex data sets, representing hundreds of millions of real-world play sessions 
 Analyze gamer behavior and patterns to drive improvements for players 
 Develop predictive models, deploy, and performance tracking and validation 
 Developing custom backend online services and features that are reliable and scale to be used by millions of players all around the world 
 Working with game studio engineers to assist in making decisions about the direction of game features based on real data 
 Providing technical mentorship to other team members through data analytics best practices 
 Sounds exciting, what would you like to see in my background? 

 6+ years of relevant work experience 
 Expertise working with ""big data"", and related tools (like Python Notebooks, Spark, SQL, etc) 
 Good understanding of the Software Development Lifecycle including, but not limited to, agile software development methodologies (Scrum or Kanban) 
 Expertise working in Python or C++, or skills in a similar language 
 Experience with databases (ideally MySQL, Cassandra, and Redis) 
 Experience with data visualization, and tools (Kibana, Grafana etc) 
 Degree in Mathematics, Computer Science, Computer Engineering or equivalent program 
 Bonus Points: 

 Experience designing systems to make high volumes of data useable (using tools like Kafka, ElasticSearch/Lucene) 
 Experience working with high-volume, customer-facing applications 
 Experience working with VMs, Linux containers, Docker and Kubernetes 
 What's in it for me? 
 An excellent salary, with annual performance reviews and discretionary bonuses 
 5 weeks of vacation, standard 
 Pension matching and contributions 
 Top-tier medical, dental, and life insurance coverage 
 Flexible working practices, based on the belief that the quality of your work is not dependent on the number of hours sitting behind a desk 
 A culture that emphasizes continual learning and improvement, with opportunities for career progression, travel, and a commitment to open source 
 Demonware by the numbers: 

 5 million concurrent online gamers 
 100+ games 
 300,000 requests per second at peak 
"
Data Scientist,"Victoria, British Columbia","At Ingrooves Music Group, we are committed to powering creativity in today’s dynamic music marketplace by providing the best distribution, marketing, and rights management tools and services to content creators and owners. We develop state-of-the-art, cost-efficient, and scalable technology platforms. Our partners benefit from our experienced, knowledgeable people, unparalleled commitment to customer service, and thoughtful marketing solutions that drive results. We aspire to be the most transparent and solution-driven partner for all of the labels and artists we work with.
How we LEAD:  
This is an execution and delivery-oriented, highly visible role in the Insights & Analytics team with primary responsibility for building, testing, and validating scalable machine learning models that drive business-relevant insight generation.  This includes development of project plans, handling of potential issues and risks, collaborating constructively with project team members, providing effective cross-functional communication, and advancing multiple projects at once.
The successful candidate will ideally be based in Victoria, BC and their reporting line will be to the Chief Analytics Officer. Although the Insights and Analytics team is primarily based in Victoria, BC, exceptionally strong candidates who wish to work remotely within British Columbia or out of the Ingrooves Los Angeles office are especially encouraged to apply and will be given equal consideration.
Success at Ingrooves 
Business Acumen
The successful candidate aligns with the Ingrooves culture by being solution-oriented, collaborative, leveraging best practices, and possessing a passion for both technology and music.
Interpersonal/Communication Skills
The successful candidate will be open minded with a natural curiosity of the internal and external customer, will be delivery oriented with an understanding of the product development process and will build and foster strong relationships and effective partnerships with cross-functional teams.
Executing for Results
The successful candidate will demonstrate the ability to generate and translate strategic plans into actions with timely execution and accountability. 
Leadership/Collaboration
The successful candidate establishes and maintains positive working relationships, operates with integrity, influences and supports others, and remains open to ideas.
Problem Solving
The successful candidate will be tenacious and self-motivated and have a demonstrable record of resolving issues and providing effective solutions.  They demonstrate eagerness and an ability to learn quickly and leverage a flexible mindset in response to shifting dynamics, adversity and/or change. 
How you’ll CREATE: 
Design, build, and deploy machine learning models at scale
Collaborate closely with product teams to provide high-level AI-driven services for music content owners
Integrate with external and internal APIs and data sources to augment music consumption data to uncover shifting market trends, new opportunities, operational efficiencies and revenue streams
Create data-rich informative visuals and documents to articulate and convey complex concepts to executive leadership team and label partners
Contribute to and enable a positive work environment which highly encourages creative input and constructive criticism from all team members
Other duties as determined by the Chief Analytics Officer
Bring your VIBE: 
Earned graduate degree (PhD/MS) in a highly quantitative discipline (e.g., machine learning, statistics, computer science, applied mathematics, theoretical physics, physical chemistry, econometrics)
2+ years of corporate experience (at the PhD level) / 4+ years of corporate experience (at the MS level) working in a data scientist or equivalent role
Demonstrated experience developing machine learning models (e.g. distributed model training with SparkML, PyTorch, Tensorflow, etc.) to deliver robust predictions and inferences in a production scale environment
Strong software development skills, with demonstrated ability to implement inferential and predictive models in a production environment.
Expert knowledge of at least one data science programming language (e.g. Python, R, Julia, etc.) and relevant data science and visualization libraries (scikit-learn, pandas, ggplot, etc.)
Experience with AWS (i.e., EC2, S3, RDS, Redshift, EMR) or similar cloud computing services
Knowledge and experience of writing and tuning SQL
Excellent communication and exposition skills with the ability to explain and present complex analyses and machine learning concepts to a broad audience, both technical and non-technical, in English
Demonstrated ability to work creatively and deliver within highly collaborative work environments while remaining product focused.
"
Data Scientist,"Victoria, British Columbia","At Ingrooves Music Group, we are committed to powering creativity in today’s dynamic music marketplace by providing the best distribution, marketing, and rights management tools and services to content creators and owners. We develop state-of-the-art, cost-efficient, and scalable technology platforms. Our partners benefit from our experienced, knowledgeable people, unparalleled commitment to customer service, and thoughtful marketing solutions that drive results. We aspire to be the most transparent and solution-driven partner for all of the labels and artists we work with.
How we LEAD:  
This is an execution and delivery-oriented, highly visible role in the Insights & Analytics team with primary responsibility for building, testing, and validating scalable machine learning models that drive business-relevant insight generation.  This includes development of project plans, handling of potential issues and risks, collaborating constructively with project team members, providing effective cross-functional communication, and advancing multiple projects at once.
The successful candidate will ideally be based in Victoria, BC and their reporting line will be to the Chief Analytics Officer. Although the Insights and Analytics team is primarily based in Victoria, BC, exceptionally strong candidates who wish to work remotely within British Columbia or out of the Ingrooves Los Angeles office are especially encouraged to apply and will be given equal consideration.
Success at Ingrooves 
Business Acumen
The successful candidate aligns with the Ingrooves culture by being solution-oriented, collaborative, leveraging best practices, and possessing a passion for both technology and music.
Interpersonal/Communication Skills
The successful candidate will be open minded with a natural curiosity of the internal and external customer, will be delivery oriented with an understanding of the product development process and will build and foster strong relationships and effective partnerships with cross-functional teams.
Executing for Results
The successful candidate will demonstrate the ability to generate and translate strategic plans into actions with timely execution and accountability. 
Leadership/Collaboration
The successful candidate establishes and maintains positive working relationships, operates with integrity, influences and supports others, and remains open to ideas.
Problem Solving
The successful candidate will be tenacious and self-motivated and have a demonstrable record of resolving issues and providing effective solutions.  They demonstrate eagerness and an ability to learn quickly and leverage a flexible mindset in response to shifting dynamics, adversity and/or change. 
How you’ll CREATE: 
Design, build, and deploy machine learning models at scale
Collaborate closely with product teams to provide high-level AI-driven services for music content owners
Integrate with external and internal APIs and data sources to augment music consumption data to uncover shifting market trends, new opportunities, operational efficiencies and revenue streams
Create data-rich informative visuals and documents to articulate and convey complex concepts to executive leadership team and label partners
Contribute to and enable a positive work environment which highly encourages creative input and constructive criticism from all team members
Other duties as determined by the Chief Analytics Officer
Bring your VIBE: 
Earned graduate degree (PhD/MS) in a highly quantitative discipline (e.g., machine learning, statistics, computer science, applied mathematics, theoretical physics, physical chemistry, econometrics)
2+ years of corporate experience (at the PhD level) / 4+ years of corporate experience (at the MS level) working in a data scientist or equivalent role
Demonstrated experience developing machine learning models (e.g. distributed model training with SparkML, PyTorch, Tensorflow, etc.) to deliver robust predictions and inferences in a production scale environment
Strong software development skills, with demonstrated ability to implement inferential and predictive models in a production environment.
Expert knowledge of at least one data science programming language (e.g. Python, R, Julia, etc.) and relevant data science and visualization libraries (scikit-learn, pandas, ggplot, etc.)
Experience with AWS (i.e., EC2, S3, RDS, Redshift, EMR) or similar cloud computing services
Knowledge and experience of writing and tuning SQL
Excellent communication and exposition skills with the ability to explain and present complex analyses and machine learning concepts to a broad audience, both technical and non-technical, in English
Demonstrated ability to work creatively and deliver within highly collaborative work environments while remaining product focused.
"
Data Scientist,"Victoria, British Columbia","At Ingrooves Music Group, we are committed to powering creativity in today’s dynamic music marketplace by providing the best distribution, marketing, and rights management tools and services to content creators and owners. We develop state-of-the-art, cost-efficient, and scalable technology platforms. Our partners benefit from our experienced, knowledgeable people, unparalleled commitment to customer service, and thoughtful marketing solutions that drive results. We aspire to be the most transparent and solution-driven partner for all of the labels and artists we work with.
How we LEAD:  
This is an execution and delivery-oriented, highly visible role in the Insights & Analytics team with primary responsibility for building, testing, and validating scalable machine learning models that drive business-relevant insight generation.  This includes development of project plans, handling of potential issues and risks, collaborating constructively with project team members, providing effective cross-functional communication, and advancing multiple projects at once.
The successful candidate will ideally be based in Victoria, BC and their reporting line will be to the Chief Analytics Officer. Although the Insights and Analytics team is primarily based in Victoria, BC, exceptionally strong candidates who wish to work remotely within British Columbia or out of the Ingrooves Los Angeles office are especially encouraged to apply and will be given equal consideration.
Success at Ingrooves 
Business Acumen
The successful candidate aligns with the Ingrooves culture by being solution-oriented, collaborative, leveraging best practices, and possessing a passion for both technology and music.
Interpersonal/Communication Skills
The successful candidate will be open minded with a natural curiosity of the internal and external customer, will be delivery oriented with an understanding of the product development process and will build and foster strong relationships and effective partnerships with cross-functional teams.
Executing for Results
The successful candidate will demonstrate the ability to generate and translate strategic plans into actions with timely execution and accountability. 
Leadership/Collaboration
The successful candidate establishes and maintains positive working relationships, operates with integrity, influences and supports others, and remains open to ideas.
Problem Solving
The successful candidate will be tenacious and self-motivated and have a demonstrable record of resolving issues and providing effective solutions.  They demonstrate eagerness and an ability to learn quickly and leverage a flexible mindset in response to shifting dynamics, adversity and/or change. 
How you’ll CREATE: 
Design, build, and deploy machine learning models at scale
Collaborate closely with product teams to provide high-level AI-driven services for music content owners
Integrate with external and internal APIs and data sources to augment music consumption data to uncover shifting market trends, new opportunities, operational efficiencies and revenue streams
Create data-rich informative visuals and documents to articulate and convey complex concepts to executive leadership team and label partners
Contribute to and enable a positive work environment which highly encourages creative input and constructive criticism from all team members
Other duties as determined by the Chief Analytics Officer
Bring your VIBE: 
Earned graduate degree (PhD/MS) in a highly quantitative discipline (e.g., machine learning, statistics, computer science, applied mathematics, theoretical physics, physical chemistry, econometrics)
2+ years of corporate experience (at the PhD level) / 4+ years of corporate experience (at the MS level) working in a data scientist or equivalent role
Demonstrated experience developing machine learning models (e.g. distributed model training with SparkML, PyTorch, Tensorflow, etc.) to deliver robust predictions and inferences in a production scale environment
Strong software development skills, with demonstrated ability to implement inferential and predictive models in a production environment.
Expert knowledge of at least one data science programming language (e.g. Python, R, Julia, etc.) and relevant data science and visualization libraries (scikit-learn, pandas, ggplot, etc.)
Experience with AWS (i.e., EC2, S3, RDS, Redshift, EMR) or similar cloud computing services
Knowledge and experience of writing and tuning SQL
Excellent communication and exposition skills with the ability to explain and present complex analyses and machine learning concepts to a broad audience, both technical and non-technical, in English
Demonstrated ability to work creatively and deliver within highly collaborative work environments while remaining product focused.
"
