,Title,Location,Description
235,Data Scientist,"New York, New York 10001","C3.ai is a leading enterprise AI software provider for accelerating digital transformation. The comprehensive and proven C3 AI Suite uses a model-driven abstraction layer to enable organizations to develop, deploy, and operate enterprise scale AI applications 40x to 100x faster than alternative approaches. 
As a Data Scientist, you will participate in the definition of new analytics capabilities able to provide our customers with the information they need to make proper decisions to support our customers in operating the internet of things (IoT). In addition, you will help find the appropriate machine learning / data mining algorithms to answer these questions. Finally, you will be responsible for implementing this into the product and making it available to our customers.Qualified candidates will have an in-depth knowledge of most common machine learning techniques and their application. You will also understand the limitations of these algorithms and how to tweak them or derive from them to achieve similar results at large-scale.
Your Responsibilities:
Driving adoption of Deep Learning systems into next-generation of C3.ai products.
Designing and deploying Machine Learning algorithms for industrial applications such as fraud detection and predictive maintenance.
Collaborating with data and subject matter experts from C3.ai and its customer teams to seek, understand, validate, interpret, and correctly use new data elements.
Requirements:
MS or PhD in Computer Science, Electrical Engineering, Statistics, or equivalent fields.
Applied Machine Learning experience (regression and classification, supervised, and unsupervised learning). 
Strong mathematical background (linear algebra, calculus, probability and statistics).
Experience with scalable ML (MapReduce, streaming).
Ability to drive a project and work both independently and in a team.
Smart, motivated, can do attitude, and seeks to make a difference.
Excellent verbal and written communication.
Preferred
Experience with JavaScript and prototyping languages such as Python and R. Experience with Java and Scala is a plus.
Knowledge in electrical engineering and cyber-physical systems is a plus.
A portfolio of projects (GitHub, papers, etc.) is a plus.
C3.ai provides a competitive compensation package and excellent benefits including:
Competitive salary, generous stock options, 401K, medical, dental, and vision benefits. At the office, we offer a fully stocked kitchen with catered breakfast and lunch, table tennis and pool table, free membership at our on-site gym, Friday evening social hours with food, drink and music and a fun team of great people.
C3.ai is proud to be an Equal Opportunity and Affirmative Action Employer. We do not discriminate on the basis of any legally protected characteristics, including disabled and veteran status. 
"
236,"Lead Data Scientist, Actuary/Underwriting","Amherst, New York 14260","Position Summary:
MassMutual’s Advanced Analytics group is seeking an exceptional, highly motivated and self-directed data scientist. In this role, you will perform data-driven research, problem solving, and algorithm development through the systematic application of mathematics, statistics and computer science as well as cutting edge data technologies. Results of this work manifest themselves in a variety of ways, including interactive visualizations, presentations, publications, web applications, predictive algorithms, and APIs.
This is an opportunity to join a small but growing high performing team with diverse backgrounds in applied math, computer science and physics that have been tasked with developing, maintaining and extracting knowledge from a strategic data asset. Our work revolves around studying fundamental and high impact business questions that directly impact the direction of the company and industry at large.
Overall Responsibility:
Set strategy and assume a leadership role in actuary and/or underwriting domainDevelop roadmaps for projects and services, data, and technologyOversee operations of algorithm and system deploymentsPartner with executive leadership to ensure alignment of data science initiatives and company strategyLead projects and research initiatives Develop algorithms and predictive models, create prototype systems, visualizations, and web applications Design and analyze experiments Assemble data sets from disparate sources and analyze using appropriate quantitative methodologies, computational frameworks and systems Disseminate findings to non-technical audiences through a variety of media, including interactive visualizations, reports and presentations Mentor junior team members  Candidate Requirements:
Industry recognized expertise in actuary/underwriting domain7+ years working with data and relevant computational frameworks and systems 7+ years developing of probabilistic models and machine learning algorithms Proficient level of understanding in the following areas and an expert in at least one: machine learning, probability and statistics (esp. Bayesian methods), natural language processing, operations research Exceptional problem solving skills and willingness to learn new concepts, methods, and technologies Expert in data analysis using R or Python (numpy, scipy, matplotlib, scikit-learn, pandas, etc.) programming languages Knowledge of HTML/CSS/Javascript, d3.js and web application frameworks (Flask, Django, Play!, etc.) Knowledge of NoSQL systems, Hadoop/map-reduce, Spark, Hbase, etc. Experience in database design and SQL Ability to work in a highly collaborative environment Outstanding communication skills (publication history a plus) Education - M.S. or Ph.D. in a quantitative discipline (Computer Science, Statistics, Applied Mathematics, Electrical Engineering, Physics, etc.) is required
"
237,Staff Data Scientist,"San Diego, California 92101","4+ years of industry experience with data scienceBS, MS or PhD in Statistics, Mathematics, Computer Science, Economics, Operations Research, or equivalent4+ years of hands-on expertise with data mining and statistical modeling techniques such as clustering, classification, regression, tree-based methods, neural nets, support vector machines, anomaly detection, and natural language processingExpertise in modern advanced analytical tools and programming languages such as Python, Scala, Java and/or R.Efficient in SQL, Hive, SparkSQL, etc.Comfortable working in a Linux environmentExperience with building end-to-end reusable pipelines from data acquisition to model output deliveryQuick learner, adaptable, with the ability to work independently in a fast-paced environmentStrong oral and written communication skills. Ability to conduct meetings and make professional presentations, and to explain complex concepts and technical material to non-technical userscommunity
How you will lead
Excellent leadership and communication skills to influence teams and to evangelize data science across the organizationPerform hands-on data analysis and modeling with huge data setsApply data mining, NLP, and machine learning (both supervised and unsupervised) to improve relevance and personalization algorithmsWork side-by-side with product managers, software engineers, and designers in designing experiments and minimum viable productsDiscover data sources, get access to them, import them, clean them up, and make them “model-ready”. You need to be willing and able to do your own ETLCreate and refine features from the underlying data. You’ll enjoy developing just enough subject matter expertise to have an intuition about what features might make your model perform better, and then you’ll lather, rinse and repeatRun regular A/B tests, gather data, perform statistical analysis, draw conclusions on the impact of your optimizations and communicate results to peers and leadersExplore new design or technology shifts in order to determine how they might connect with the customer benefits we wish to deliverCommunicate key analytic findings within the business and to senior stakeholdersResearch, explore, and enable new quantitative techniques and technologies in data science
"
238,"Sr. Data Scientist, Sales Analytics","San Jose, California 95194","The Data Science team lies at the foundation of Zoom’s success. The Data Scientist is one of the most demanding roles at Zoom; it requires the hybrid of a data geek, a business leader, and a project manager that the right person is difficult to find. We are looking for such a rock-star to join our team to focus on Sales analytics!Dialed in on scaling Zoom’s go-to-market engine in a period of hyper growth, you will be directly working cross-functionally with teams of Sales professionals, FP&A analysts, and marketers on some of the most critical projects in the company. You will play an important role in driving the growth of Zoom by surfacing, analyzing, and reporting on data that drives mission-critical business decisions. It’s a big deal and the qualities and capabilities required mean you are an incredibly intelligent and talented professional. Sound like you?This role is based out of our headquarters in beautiful downtown San Jose, California.RESPONSIBILITIES:Provide Data Science leadership and become the go to expert in data to the Sales, Sales Ops, and Sales FP&A organizationsFormulates data strategy and participate in the development of the product or division strategy within the Sales related organizationsUnlock new opportunities for growth by discovering insights, automate processes, and predictive modelingLeading others and project manage to execute Sales driven projects from database - to analysis - to insights - to presentations - to executionsDevelop analytical frameworks and provide recommendations to management to drive go-to-market decisionsWrite SQL, Python and/or R code; build data models to fuel analytical frameworks and dashboardsBuild predictive models based on Salesforce, product usage, and billing dataProvide data hygiene and integrity guidelines and recommendations to operations teamDeep dive into key Sales Metrics including Leads Forecasting, Pipeline Trends and Forecasting, Rep Productivity deep dives, Lead to Bookings conversion rates, Bookings contribution etc.Build and maintain data visualizations to communicate key Sales metrics and KPIsREQUIREMENTS:Minimum 6+ years of experience using data to facilitate Sales/Business decisions. 10+ years preferredStrongly preferred - experience in Sales Data Analytics, Sales Operations, Sales Finance, consulting, or investment bankingBachelor’s or Master’s degree in Business, Economics, STEM Degrees or similar fields or MBAExcellent communication skills with the ability to communicate at C-levelExcellent SQL, Python and/R skills with the ability to execute complicated modelsExcellent organization skills with the ability to manage competing prioritiesExperience in building Machine Learning modelsStrong understanding of Sales processes, Pipeline management, and Sales productivity driversCreative solutions driven mindset, with a “get stuff done” attitudeFirm believer of data informed decision makingMust have lead or managed team of analyst(s)Enterprise SaaS experience is mustPERKS:Opportunity for growth: grow with the company and become a leaderImpact on the ground floor: shape the strategic direction of the companyMake a difference: change the way businesses communicate for the future
"
239,Data Scientist,"University Park, Pennsylvania 16802","AND POSITION REQUIREMENTSThe Sensor Analysis and Data Modeling Department of the Sonar Research and Development Division within the Undersea Systems Office (USO) at the Applied Research Laboratory (ARL) at Penn State University is seeking a Data Scientist who has experience in the application of data science techniques to remote sensing systems or similar.The successful candidate will join a group of scientists and engineers working on next generation sonar systems for a range of underwater applications. This position will involve the application of modern data science techniques to the problem of extracting information from a wide range of sensed data. It will also provide the opportunity to work on cutting edge sensors that are developed by ARL. Publications in peer-reviewed journals and conference proceedings along with student engagement will be encouraged.Our group’s research areas include synthetic aperture sonar image formation, acoustic navigation techniques, acoustic remote sensing, and sonar image classification. The sensors employed by this research group produce one-Company time series, two and three Company acoustic images, and two and three Company non-imaged based data representations. This fully integrated group, which links hardware design through perception, provides unique research opportunities for influencing the information that is exploited in the perception stage.Please see a selection of recent articles (1,2, 3, 4, 5) for examples of our group’s public search areas that include machine learning topics such as the design of convolutional neural networks (CNNs) and generative adversarial networks (GANs).This job will be filled as a level 3 or level 4, depending upon the successful candidates competencies, education, and experience. Typically requires a Masters degree in an Engineering or Science discipline or higher, and 10 or more years’ related experience or an equivalent combination of education and experience for a level 4.A Masters or Ph.D. in Acoustics, Applied Mathematics, Computer Science, Electrical Engineering, Mechanical Engineering, or Physics is preferred.Requirements for this position areDemonstrated cross-disciplinary skills in applying data science techniquesAbility to working as part of a cross- disciplinary research team alongside members with expertise across the domains of hardware development, physics-based modeling, and signal and image processingSolid understanding of engineering practices and principlesKnowledge of mathematics and physicsExcellent communication skills, both oral and writtenExcellent interpersonal skillsAbility to work well as part of a teamOccasional travel to support testing and to attend meetings is necessaryKnowledge in the following is preferredCreating and deploying Pytorch/Tensor flow pipelinesPython/R/JuliaHigh performance computingNeural network design for remote sensing and/or data imbalanced classification problems
"
240,Data Scientist,"Los Angeles, California 90189","DescriptionInternet Brands and WebMD are looking for a Data Scientist to join our Los Angeles based headquarters, and work on exciting personalization initiatives! The ideal candidate has a practical background in machine learning, with experience in natural language understanding, information retrieval, knowledge extraction, or deep learning. You will be helping to lead the machine learning effort, working with product engineers and data scientists in building content recommendation, personalization, and business intelligence models to enhance our customer experience and business intelligence capabilities.Responsibilities- Selecting features, building and optimizing classifiers using machine learning techniques- Data mining using state-of-the-art methods.- Extending company’s data with third party sources of information when needed.- Processing, cleansing, and verifying the integrity of data used for analysis.- Doing ad-hoc analysis and presenting results in a clear manner.- Apply machine learning, collaborative filtering, NLP, and deep learning methods to massive data sets.- Collaborate with cross-functional agile teams of software engineers, domain experts, and others to build new product features for multiple business units.- Collaborate with data scientists across a variety of businesses to prioritize and promote our machine learning efforts.Skills and Qualifications- B.S., M.S. or PhD in Computer Science, Software Engineering, Information Science, Mathematics, Statistics, Electrical Engineering, Physics or related fields or equivalent experience.- Excellent understanding of machine learning techniques and algorithms, such as k-NN, Naive Bayes, SVM, Decision Forests, etc.- Experience with common data science toolkits, such as R, Scikit-learn, NumPy, Tensorflow.- Strong knowledge in POS tagger, shallow and deep parser, feature scaling, Companyity reduction & data compression techniques, TF-IDF, SVM, Company models (Bagging, Boosting), model tuning using grid-search etc.- 3+ years of software development experience in NLP development & or text analytics.- 3+ years of experience implementing machine learning systems at scale in Python (preferred), Scala, or Java.- You care about agile software processes, data-driven development, reliability, and responsible experimentation.- You preferably have machine learning publications or work on open source to share with us.Excellence in at least one of these is highly desirable- Experience with data visualization tools, such as D3.js, GGplot, etc.- Proficiency in using query languages such as SQL.- Experience with NoSQL databases.- Experience with data processing and storage frameworks like Hadoop, Spark, Kafka, etc.
 
"
241,Senior Data Scientist - Homes,"Atlanta, Georgia 30317","Define metrics to understand the cost and quality of home repairsIdentify opportunities to improve our models and policies for preventing incidentsDesign experiments to determine when renovation has a positive return on investmentDevelop strategies to capture data on buyer preferencesLaunch products like home personalization for buyers and maintenance for homeownersBecome a domain expert in real estate and construction managementWe’re looking for teammates who have5+ years of experienceProficiency in SQL and numerical programming in Python or RStrong written and verbal communication skillsDemonstrated knowledge of anomaly detection and operational excellenceBonus points ifYou have experience in operational excellence, fraud detection, or signal processingYou love delighting customers with seamless and meticulous productsYou are committed to iteratively driving results and becoming better every dayYou are obsessed with customers and making something people wantYou are excited to join a radically transparent team and celebrate our successes together You are propelled forward by working on hard data science problemsYou are interested in how to make the best decisions under uncertainty
"
242,Data Scientist,"Chantilly, Virginia 20153","Leverages data science and NLP tools to organize, triage, normalize, and/or interpret diverse data for further analysis by subject matter experts.Designs, develops, and implements data science solutions.Experiments with emerging data science principles to develop new tools for finding insights in complex data (e.g. custom fuzzy matching and the use of regular expressions).Prepares quick-turn reports and provides input to finished reports.Builds and maintains data science tools and databases in support of analyst and subject matter expert use.Uses data science to support language translation and science and technology assessments.Must be able to work independently with some oversight and function effectively as part of a team in a joint working environment.THE FOLLOWING IS REQUIREDMust be a US Citizen with an active TS/SCI.Bachelor’s degree in mathematics, statistics, computer/data science, information systems, or similar technical field, or equivalent experience.Five (5) years of experience as a data scientist, statistician, applied mathematician, or equivalent to fulfill the job requirements.Proficiency in a high-level programming language, i.e. Python (required), R, Perl.Experience working in U.S. national security, e.g. intelligence community, military, joint operations, or related government contracting.THE FOLLOWING IS DESIREDMaster’s degree or PhD in the above areas.Experience with shell scripting (bash, ksh, or equivalent).Understanding of network architecture and information technology.More than 10 years of experience as a data scientist, statistician, applied mathematician, or equivalent to fulfill the job requirements.Experience using NLP tools to support assessments and technical reporting on technologies and scientific topics, i.e. technology readiness levels (TRL) and critical technology elements (CTE).Professional foreign language proficiency, particularly in critical languages for national security.
"
243,Senior Data Scientist/Statistician,"San Jose, California 95194","The Sr. Data Analytics Specialist in the Product Research and Development (PR&D) group at Align works closely with our cross-functional teams in IT, software, marketing, clinical, and operation teams. He/she leverages Align’s digital clinical database to develop and deliver data-driven insights, metrics, and recommendations to assist teams to drive the company’s product development roadmap and transform the orthodontic world with the Invisalign product.
In this role, you will… 
As the senior data analytics expert within PR&D, partnering with engineers from various backgrounds including biomechanics, materials, software, and clinical research
Use state-of-the-art data science methods on the organization’s clinical data to generate insights for product development and innovationDevelop a comprehensive understanding of the Invisalign products and operational proceduresConvert abstract business inquiries into concrete analyses, including planning, execution and reporting to stakeholdersBe responsible for formulating study hypotheses and determining appropriate analytical methods and procedures, with minimal oversight, documentation, or defined processWork with management to improve statistical integrity, accuracy, and adequacy of the team’s deliverablesProvide mentorship and guidance to other team members regarding data analyticsBuild effective working relationships with management and connect with diverse cross-functional teams both locally and globallyWork efficiently in a fast-paced environment to meet critical deadlines and priority changes  
In this role, you’ll need … 
MS or PhD in computer science, mathematics, statistics or related technical field.  AS a MS with 6+ years of relevant industrial experience in data mining and statistical analysis, or PhD with 3+ years of relevant industrial experienceProven ability to tailor statistical methods to given application fieldsTechnical skills: Proficiency with SQL writing & optimization, Python/R programmingExcellent oral and written communication skills, including the ability to explain complicated quantitative concepts to non-technical audiences and interact cross-functionally with global teams
Desired:
Dental, medical device or pharmaceutical industry experience preferredExperience with business analytics tools such as Power BIUnderstanding of machine learning techniques and algorithms
"
244,Sr. Data Scientist,"San Francisco, California 94101","We are seeking an outstanding data scientist interested in working in the hot space of app store data and analytics to join the rapidly growing Data Science team at App Annie. App Annie is pioneering the development of app store analytics on an unprecedented scale, and we need self-driven and motivated performers to join our stellar team. Using advanced data modeling techniques drawn from fields such as statistics, operations research and machine learning, together with incomparable App Annie proprietary data collected from iOS, Android and other platforms, your role is to discover trends, uncover app store application evaluation methodologies, and provide accurate market estimates based on these data. Working closely with Product Management, Engineering and other Data Analysts, you will play a key role helping to drive the creation and delivery of a new generation of exceptional App Annie products, and building and evolving our existing market-leading flagship offerings.
You will: 
Gather requirements from Product Managers, and work with Product Management to refine product concepts and implement the data modeling needed to turn them into realitySupport advanced customers requestsDevelop the heart of App Annie’s products, current and futureCreate and customize App Annie models and metricsIdentify relationships within large and seemingly unrelated dataAnalyze public data that could be used to complement current and future projectsUnderstand the entire App Annie system from a data point of viewDeliver robust high quality data productsIdentify performance bottlenecks and provide optimization solutionsCreate quality indicators and diagnostics tools
You have: 
A passion for everything to do with data and already have top-level experience working in data modeling and quantitative analysisAn ability to solve challenging problems and provide innovative practical solutions quickly and efficiently5 years work experience, including at least 2 years performing data modeling and quantitative analysis, preferably for Internet or technology companies. Experience in financial or medical industries can also be helpfulExcellent data mining skills, including a working knowledge of several of the following statistics packages and languages: Python including scikit-learn, Jupyter, “R”, SPSS, SAS, Matlab, Mathematica. Analytics databases: Vertica, Sybase IQ, Hadoop, SQL, HiveA proficiency with Linux OSExperience with data visualization and dashboard tools is a plus: Tableau Software, Pentaho, Business Objects.MS or PhD preferred in Statistics, Applied Mathematics, Computer Science, Econometrics or related fieldA passion for digital content and mobile apps is a definite plusThe authorization to work in the U.S. 
What do we offer?
Competitive compensation.All the tech tools you need to succeed.A 401(K) plan to help you plan for your future.Great health, dental and vision insurance packages to fit your needs to ensure you’re happy and healthy.A yearly fitness stipend that will keep you up and moving.Commuter benefits that make getting to work a breeze.Employee referral bonuses so you’ll get the opportunity to work with friends (and get some extra cash in your pocket!).
Covid-19
During the Covid-19 Pandemic we’ve adapted how we support our employees in a number of ways:
Donut Dates - connecting you with someone else in your region once every 2 weeks so you can get to know each other WFH Equipment Allowance - To ensure you have the best set up in your home officeProductivity Allowance - To keep your home office runningWellness Sessions - To keep everyone happy and healthyVirtual Happy Hours and Trivia to keep you connected with your colleaguesGenerous PTO that we encourage you to use for your wellbeing to go offline, recharge, and reflectYou will also be taken through a fully digital onboarding process!
About App Annie
App Annie delivers the most trusted app market data and insights for your business to succeed in the global app economy. Over 1 million registered members rely on App Annie to better understand the app market, their businesses and the opportunities around them. The company is headquartered in San Francisco with 450 employees across 15 global offices. App Annie has received $157 million in financing, including from investors such as Sequoia Capital, Institutional Venture Partners, IDG Capital Partners, e.ventures, Greenspring Associates, and Greycroft Partners.
Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.
"
245,Data Scientist (Product),"New York, New York 10001","We are looking for a Data Scientist to join the band and help drive a data-first culture across Spotify.
As a Data Scientist, our mission is to turn terabytes of data into insights and get a deep understanding of how our people use our apps to impact the product, strategy and direction of Spotify. You will study user behavior, strategic initiatives, content, and new features and bring data and insights into every decision we make. Above all, your work will impact the way the world experiences music.
WHAT YOU’LL DO:
Perform analyses on large sets of data to extract actionable insights that will help drive product decisionsCommunicate data-driven insights and recommendations to key stakeholdersWork closely with cross-functional teams of analysts, user researchers, product owners, designers, and engineers who are passionate about Spotify’s successWork from our offices in New YorkConduct A/B testing to drive iterative improvement through efficient experimentation
WHO YOU ARE:
You have at least 4+years of experience in a similar data scientist and a degree in science, computer science, statistics, economics, mathematics, or similar quantitative discipline.
You have a deep understanding of numbers, as well as a strong business sense.
Ideally you have experience working in a product analytics or insights role and have conducted A/B tests
You have the technical competence to perform more advanced analytics:
Coding skills for analytics and data extraction (SQL, R, Python, Pandas)Data visualization (such as Tableau, Qlik, D3, ggplot)Experience performing analysis with large datasets
"
246,Data Scientist,"Washington, District of Columbia 20022","This opening is for our Marketplace zone which connects over 2 million engaged couples with +50,000 local wedding vendors (e.g. Venue, DJ, Florist, etc.) across the US each year. This position plays an essential role in solving complex problems across our two-sided marketplace in areas such as pricing, product strategy, and go-to-market optimization. RESPONSIBILITIES:Create smarter product solutions for our couples and vendorsAnswer strategic questions by analyzing behavioral dataCommunicate, collaborate and present results to clients within The Knot WorldwideExplore novel ways to look at our dataSUCCESSFUL DATA SCIENTIST CANDIDATES HAVE:Masters Degree or Ph.D. preferredExperience implementing auction based business modelsStrong product experienceProficiency in key statistical and machine learning techniques (predictive modeling, classification, clustering, text analytics, recommender systems , data mining methods, forecasting, and other advanced techniques)Proficiency with R or PythonFamiliarity with common Linux command line tasks and version control software like git or svn preferableAbility to communicate effectively and influence othersAbility to work in a fast paced environment and shift gears quickly
"
247,Senior Data Scientist,"Cambridge, Massachusetts 02138","Job DescriptionWe have an exciting new opportunity for a Real World Evidence (RWE) Senior Data Scientist to join our team in Cambridge, MA. You’ll be part of the Machine Learning and Artificial Intelligence (MLAI) team in Personalized Health Research, Analytics and Solutions(PHRAS). In this role, you’ll be responsible for providing MLAI support and guidance on RWE imaging studies and may serve as the responsible RWE imaging analysis expert on several RWE projects in different indications.
Primary Responsibilities
 Support cross-function teams in PHRAS on image processing and analysis using MLAI methodsImplement and develop image processing and analysis algorithms based on existing code and publicationsProvide consultation and technical support on MLAI, especially on imaging analysis, to internal and external teams required by PHARS business·       Recommend and evaluate novel MLAI techniques, especially the ones for image processingSupport research and publications within cross-functional teams and participate in writing and crafting relevant sectionsProvide training on technical aspects of MLAI as well as its coding/implementationProvide technical input on assessment of vendor capabilitiesProvide strategic thinking on ways that MLAI can be utilized to maximize the impact on patient careIncrease knowledge of ML and AI methods and their implementationIncrease knowledge of imaging sources (e.g. MRI, fMRI, OTC, PET, CT, etc)Participate in cross-functional initiatives regarding MLAI, especially on imaging analysis QualificationsQualifications / Skills
Solid understanding of Machine Learning, Deep Learning and Artificial Intelligence technologiesExperience applying latest advances in deep learning and computer vision research to real-world problemsComputer vision related experience and/or courses, image processing, image classification, semantic segmentation, CNN, RNN, etc.Experience with machine learning / deep learning tools or frameworks like Scikit learn, Spark, Tensorflow, Keras, or PyTorchTechnical fluency; comfortable understanding and discussing architectural concepts and algorithms, assessing tradeoffs and new opportunities with technical team membersExperience with cloud computing environments (AWS, Azure, Google cloud, Databricks)Experience in large-scale imaging data processing and analysis and on distributed computing systemsStrong foundation and/or courses taken in programming (Python, Java, R, or Matlab)Experience working on GithubExperience with a distributed computing platform (Hadoop, Spark, etc.) Experience with ICH GCP, regulatory (e.g. EMA and FDA) and HTA (e.g. NICE and HAS) guidelinesAbility to work independently on routine assignments and under little supervision on new assignmentsDemonstrate strong organizational skills, including the ability to prioritize workloadExcellent written and verbal communication skills and ability to communicate effectively to both technical and non-technical audience Education
MS or PhD in Computer Science, Electronic Engineering,  Statistics, Biostatistics, Mathematics or equivalent, and an MS with 4-6 years or PhD with at least 2 years working on imaging studies
"
248,Senior Data Scientist - Operations,"Seattle, Washington 98102","Who we are: 
Convoy is transforming the $800 billion trucking industry. Our mission is to transport the world with endless capacity and zero waste. The industry is huge and so is the opportunity to change the way freight moves.
The next time you’re out driving and see an 18-wheeler on the road, that truck is empty 35% of the time. When big trucks drive empty, they throw unnecessary CO2 into the atmosphere. In fact, empty trucks generate more than 76 million metric tons of wasted carbon emissions every year. At Convoy, our digital freight network helps reduce those empty miles and cut carbon waste by nearly half.
This is your opportunity to collaborate with an incredible group of people and help transform the freight industry. Join Convoy and help move the world forward!
About You:
We build the models that power freight pricing, shipment offer relevance, auction bidding strategy, and other core services. The breadth of the problems space is huge, spanning machine learning, optimization, metric definition, econometrics, and prediction domains. And we have only begun to dig into the difficult and diverse problems in our two-sided marketplace.
At Convoy you will be expected to work autonomously and own your domain end-to-end.You will collaborate with Operations and other business leaders, research scientists, and product managers across the company.This role sits at the intersection of data science and operations, on a team that leverages data insights to maximize the impact of our operations teams by defining key metrics, reporting on KPIs, developing optimal staffing models, and improving process through causal inference.Working closely with Product and Operations leaders, you’ll significantly influence our roadmap to deliver world class service to our customers as efficiently as possible.
At Convoy you will be expected to work autonomously and own your domain end-to-end.
You will collaborate with Operations and other business leaders, research scientists, and product managers across the company.
This role sits at the intersection of data science and operations, on a team that leverages data insights to maximize the impact of our operations teams by defining key metrics, reporting on KPIs, developing optimal staffing models, and improving process through causal inference.
Working closely with Product and Operations leaders, you’ll significantly influence our roadmap to deliver world class service to our customers as efficiently as possible.
Minimum of 5+ years of industry experience in Consulting, Business Intelligence, Data Scientist, or Analytics rolesSQL fluencyETL pipeline experienceExperience with scientific/statistical languages such as R or PythonAbility to break down high-level business problems into concrete analytical solutionsStrong communication and utmost attention to detailBS or MS in economics, statistics, computer science, operations research, engineering, a natural science or equivalent quantitative subjectCandidates must be eligible to work in the U.S. at our Seattle HQ. Convoy is an equal-opportunity employer and we welcome applicants from all backgrounds. If you’re a passionate team player who wants to have an outsized impact on a diverse and dynamic team, we’d love to hear from you!
Minimum of 5+ years of industry experience in Consulting, Business Intelligence, Data Scientist, or Analytics roles
SQL fluency
ETL pipeline experience
Experience with scientific/statistical languages such as R or Python
Ability to break down high-level business problems into concrete analytical solutions
Strong communication and utmost attention to detail
BS or MS in economics, statistics, computer science, operations research, engineering, a natural science or equivalent quantitative subject
Candidates must be eligible to work in the U.S. at our Seattle HQ. Convoy is an equal-opportunity employer and we welcome applicants from all backgrounds. If you’re a passionate team player who wants to have an outsized impact on a diverse and dynamic team, we’d love to hear from you!
Convoy is an equal-opportunity employer and we welcome applicants from all backgrounds. If you’re a passionate team player who wants to have an outsized impact on a diverse and dynamic team, we’d love to hear from you!
"
249,Senior Data Scientist,"Wilmington, Delaware 19896","Lead data science projects and tasks that may include predictive analytics, machine learning, and natural language processingApply a wide array of advanced data mining techniques (including supervised and unsupervised methods, dimension reduction methods, and social network analysis methods) in support of research and operational analytic projectsWork extensively in Python Mentor entry-level data scientistsYou’ll be encouraged and supported to take ownership of your projects and collaborate with a dynamic team to think entrepreneurially and leverage new opportunities and problems where machine learning and computational techniques can be applied to improve our sales, marketing, and business resultsBuild and deploy your models to generate immediate business value and revenue in virtually unlimited areas—including digital platforms, online product recommender systems, AI-enabled sales, demand signaling, product development, market research, customer identification, search engine marketing, digital advertising, customer experience—and continuously improve and optimizeWhat You Need for this PositionBachelors or Masters degree in economics, data science, data analytics, computer science, statistics, mathematics, natural sciences or other relevant fieldSolid foundation in statisticsKnowledge of data analytics, data visualizations, data mining, predictive modeling, machine learning, or other data intensive analytical roleExperience with open source programming languages like Python and Julia
 
"
250,DATA SCIENTIST NOC 2172,"Calgary, Alberta T2P 3K7","DATA SCIENTIST NOC 2172
Linux, Unix, JavaOS, Device drivers, Networking software, Networking hardware, Networking security, Extranet, Intranet, Internet, Servers, Desktop applications, Enterprise Applications Integration (EAI), File management software, Security software, Multimedia software, Word processing software, Presentation software, Mail server software, Communication software, 3D graphic software, Image editing software, Project management software, Programming software, Website creation and management software, Web service design, Business diagram software, Desktop publishing software, Mapping and data visualization software, Database software, Programming languages, Data analysis software, MS Office, Spreadsheet, MS Windows
Education: Earned doctorate degree
Experience: 5 years or more
 
Salary: $43.96 per hour
 
Hours: 40 hours per week
Terms of employment: Permanent, full time
Languages: English
 
How to Apply:
info@geomodeling.com
665 8th Street S.W.
Calgary, AB
T2P 3K7
 
Renjun Wen
Geomodeling Technology Corp
Calgary, AB
 
"
251,Data Scientist,"Toronto, Ontario","This is an exciting opportunity to join our client's Innovation and Strategy team at the ground level! You will be part of their innovation hub located in downtown Toronto where your desire for impact will only be matched by your innate ability to collaborate with other like minded individuals to come up with creative solutions to retail data science problems.
In this role, you’ll have the chance to roll up your sleeves and apply data science methods and analytics to real-world business situations. The Data Scientist will play a key role in enhancing advanced analytics and machine learning capabilities within the organization. You will be responsible for the building, training, scoring and monitoring of machine learning models. You will work closely with various stakeholders throughout our business to understand business needs and develop solutions through machine learning or other advanced analytics/predictive modeling techniques.
MS/PHD or equivalent in Computer Science, Engineering, Statistics, Mathematics, or related technical field
Experience in developing machine-learning algorithms, statistical and mathematical optimization models, and simulation and visualization tools
Strong understanding of regression modeling, time series analysis, cluster analysis, machine-learning concepts such as supervised and unsupervised learning, classification, random forest, neural nets, etc.
Ability to identify predictive attributes of data sets and perform feature engineering to improve machine learning results
Experience with manipulating big data sets via SQL able to process, filter and present large quantities of data
Experience in one or more programming languages (e.g. Python, R, Scala, etc.)
Experience with Databricks, Tableau and AutoML tools an asset
"
252,Data Scientist (Fraud Detection Systems),"Toronto, Ontario M2M4K5","We require a resource to come in for the initial planning and implementation phase of the implementation of the fraud detection system.
This resource will assist with the selection of the solution and consider various options including vendor selections for off the shelf, building in house, etc.
Resource will identify what data is currently available and what organization needs.
Looking for a resource with strong expertise in this area.
Strong and recent experience in end to end implementation and operations of a fraud detections
Resource needs to understand what it takes to put a fraud detection solution into production.
Background in fraud detection and data science a MUST
Ideal background in open source fraud solutions, claims based fraud detection and commercial product experience
Experience with Python a strong asset
Resource needs to have technical knowledge of fraud detection systems (not just someone who has used them in the past) and also strong communication and interpersonal skills
Experience with drafting business requirements or business use cases specifically related to fraud detection services
Familiar with various AI toolkits (no specifics as one has not yet been selected)
"
